,country,Date,t_3,t_2,t_1,arrival
513,74,31/12/2015,4.23,2.8,2.73,2.62
514,74,31/12/2016,2.8,2.73,2.62,2.79
515,74,31/12/2017,2.73,2.62,2.79,3.18
516,74,31/12/2018,2.62,2.79,3.18,3.22
517,74,31/12/2019,2.79,3.18,3.22,3.29
518,75,31/12/2013,1.7,2.36,2.43,2.6
519,75,31/12/2014,2.36,2.43,2.6,2.87
520,75,31/12/2015,2.43,2.6,2.87,3.37
521,75,31/12/2016,2.6,2.87,3.37,3.68
522,75,31/12/2017,2.87,3.37,3.68,4.06
523,75,31/12/2018,3.37,3.68,4.06,4.4
524,75,31/12/2019,3.68,4.06,4.4,4.53
525,76,31/12/2013,2.05,2.24,2.38,2.5
526,76,31/12/2014,2.24,2.38,2.5,2.68
527,76,31/12/2015,2.38,2.5,2.68,3.02
528,76,31/12/2016,2.5,2.68,3.02,3.4
529,76,31/12/2017,2.68,3.02,3.4,3.99
530,76,31/12/2018,3.02,3.4,3.99,4.43
531,76,31/12/2019,3.4,3.99,4.43,4.7
532,77,31/12/2013,2.53,2.62,2.57,2.71
533,77,31/12/2014,2.62,2.57,2.71,2.85
534,77,31/12/2015,2.57,2.71,2.85,3.13
535,77,31/12/2016,2.71,2.85,3.13,3.49
536,77,31/12/2017,2.85,3.13,3.49,3.72
537,77,31/12/2018,3.13,3.49,3.72,3.86
538,77,31/12/2019,3.49,3.72,3.86,3.89
539,78,31/12/2013,2.45,2.63,2.64,2.63
540,78,31/12/2014,2.63,2.64,2.63,2.56
541,78,31/12/2015,2.64,2.63,2.56,2.78
542,78,31/12/2016,2.63,2.56,2.78,3.29
543,78,31/12/2017,2.56,2.78,3.29,3.75
544,78,31/12/2018,2.78,3.29,3.75,4.02
545,78,31/12/2019,3.29,3.75,4.02,4.12
546,79,31/12/2013,2.5,2.53,2.54,2.64
547,79,31/12/2014,2.53,2.54,2.64,2.76
548,79,31/12/2015,2.54,2.64,2.76,2.9
549,79,31/12/2016,2.64,2.76,2.9,3.2
550,79,31/12/2017,2.76,2.9,3.2,3.23
551,79,31/12/2018,2.9,3.2,3.23,3.31
552,79,31/12/2019,3.2,3.23,3.31,3.37
553,80,31/12/2013,0.98,1.39,1.9,1.97
554,80,31/12/2014,1.39,1.9,1.97,1.86
555,80,31/12/2015,1.9,1.97,1.86,1.92
556,80,31/12/2016,1.97,1.86,1.92,2.03
557,80,31/12/2017,1.86,1.92,2.03,2.69
558,80,31/12/2018,1.92,2.03,2.69,5.35
559,80,31/12/2019,2.03,2.69,5.35,6.75
560,81,31/12/2013,0.79,0.82,1.06,2.04
561,81,31/12/2014,0.82,1.06,2.04,3.08
562,81,31/12/2015,1.06,2.04,3.08,4.68
563,81,31/12/2016,2.04,3.08,4.68,2.91
564,81,31/12/2017,3.08,4.68,2.91,3.44
565,81,31/12/2018,4.68,2.91,3.44,3.55
566,81,31/12/2019,2.91,3.44,3.55,4.36
567,82,31/12/2013,1.82,1.92,2.01,2.01
568,82,31/12/2014,1.92,2.01,2.01,2.16
569,82,31/12/2015,2.01,2.01,2.16,2.38
570,82,31/12/2016,2.01,2.16,2.38,2.59
571,82,31/12/2017,2.16,2.38,2.59,2.94
572,82,31/12/2018,2.38,2.59,2.94,3.23
573,82,31/12/2019,2.59,2.94,3.23,3.52
574,83,31/12/2013,1.5,1.39,1.71,1.92
575,83,31/12/2014,1.39,1.71,1.92,2.23
576,83,31/12/2015,1.71,1.92,2.23,2.63
577,83,31/12/2016,1.92,2.23,2.63,3.21
578,83,31/12/2017,2.23,2.63,3.21,3.18
579,83,31/12/2018,2.63,3.21,3.18,3.24
580,83,31/12/2019,3.21,3.18,3.24,3.51
581,84,31/12/2013,1.96,2.24,2.48,2.51
582,84,31/12/2014,2.24,2.48,2.51,2.3
583,84,31/12/2015,2.48,2.51,2.3,2.01
584,84,31/12/2016,2.51,2.3,2.01,2.25
585,84,31/12/2017,2.3,2.01,2.25,2.7
586,84,31/12/2018,2.01,2.25,2.7,2.85
587,84,31/12/2019,2.25,2.7,2.85,3.17
588,85,31/12/2013,1.7,2.06,2.32,2.61
589,85,31/12/2014,2.06,2.32,2.61,2.84
590,85,31/12/2015,2.32,2.61,2.84,2.94
591,85,31/12/2016,2.61,2.84,2.94,2.94
592,85,31/12/2017,2.84,2.94,2.94,2.26
593,85,31/12/2018,2.94,2.94,2.26,1.82
594,85,31/12/2019,2.94,2.26,1.82,2.14
595,86,31/12/2013,2.07,2.4,2.63,2.73
596,86,31/12/2014,2.4,2.63,2.73,2.3
597,86,31/12/2015,2.63,2.73,2.3,1.71
598,86,31/12/2016,2.73,2.3,1.71,2.04
599,86,31/12/2017,2.3,1.71,2.04,2.45
600,86,31/12/2018,1.71,2.04,2.45,2.66
601,86,31/12/2019,2.04,2.45,2.66,2.37
602,87,31/12/2013,1.73,2.0,2.09,2.2
603,87,31/12/2014,2.0,2.09,2.2,2.31
604,87,31/12/2015,2.09,2.2,2.31,2.55
605,87,31/12/2016,2.2,2.31,2.55,2.38
606,87,31/12/2017,2.31,2.55,2.38,2.52
607,87,31/12/2018,2.55,2.38,2.52,2.49
608,87,31/12/2019,2.38,2.52,2.49,2.49
609,88,31/12/2013,2.24,2.42,1.79,1.83
610,88,31/12/2014,2.42,1.79,1.83,1.88
611,88,31/12/2015,1.79,1.83,1.88,2.06
612,88,31/12/2016,1.83,1.88,2.06,2.17
613,88,31/12/2017,1.88,2.06,2.17,2.42
614,88,31/12/2018,2.06,2.17,2.42,2.58
615,88,31/12/2019,2.17,2.42,2.58,2.29
616,89,31/12/2013,1.97,1.85,1.9,1.86
617,89,31/12/2014,1.85,1.9,1.86,2.08
618,89,31/12/2015,1.9,1.86,2.08,2.09
619,89,31/12/2016,1.86,2.08,2.09,2.23
620,89,31/12/2017,2.08,2.09,2.23,2.14
621,89,31/12/2018,2.09,2.23,2.14,2.32
622,89,31/12/2019,2.23,2.14,2.32,2.32
623,90,31/12/2013,1.61,1.63,1.74,1.82
624,90,31/12/2014,1.63,1.74,1.82,1.89
625,90,31/12/2015,1.74,1.82,1.89,1.97
626,90,31/12/2016,1.82,1.89,1.97,2.05
627,90,31/12/2017,1.89,1.97,2.05,2.25
628,90,31/12/2018,1.97,2.05,2.25,2.54
629,90,31/12/2019,2.05,2.25,2.54,2.64
630,91,31/12/2013,1.84,2.01,2.21,1.97
631,91,31/12/2014,2.01,2.21,1.97,1.75
632,91,31/12/2015,2.21,1.97,1.75,1.63
633,91,31/12/2016,1.97,1.75,1.63,1.72
634,91,31/12/2017,1.75,1.63,1.72,1.51
635,91,31/12/2018,1.63,1.72,1.51,2.87
636,91,31/12/2019,1.72,1.51,2.87,2.03
637,92,31/12/2013,1.98,2.04,1.87,1.91
638,92,31/12/2014,2.04,1.87,1.91,2.0
639,92,31/12/2015,1.87,1.91,2.0,1.89
640,92,31/12/2016,1.91,2.0,1.89,2.0
641,92,31/12/2017,2.0,1.89,2.0,1.94
642,92,31/12/2018,1.89,2.0,1.94,1.87
643,92,31/12/2019,2.0,1.94,1.87,1.9
644,93,31/12/2013,1.38,1.43,1.49,1.52
645,93,31/12/2014,1.43,1.49,1.52,1.74
646,93,31/12/2015,1.49,1.52,1.74,1.87
647,93,31/12/2016,1.52,1.74,1.87,1.91
648,93,31/12/2017,1.74,1.87,1.91,2.12
649,93,31/12/2018,1.87,1.91,2.12,2.41
650,93,31/12/2019,1.91,2.12,2.41,2.56
651,94,31/12/2013,1.97,1.8,1.61,1.54
652,94,31/12/2014,1.8,1.61,1.54,1.97
653,94,31/12/2015,1.61,1.54,1.97,1.66
654,94,31/12/2016,1.54,1.97,1.66,1.71
655,94,31/12/2017,1.97,1.66,1.71,1.78
656,94,31/12/2018,1.66,1.71,1.78,1.83
657,94,31/12/2019,1.71,1.78,1.83,1.76
658,95,31/12/2013,0.77,0.98,1.13,1.42
659,95,31/12/2014,0.98,1.13,1.42,1.67
660,95,31/12/2015,1.13,1.42,1.67,1.99
661,95,31/12/2016,1.42,1.67,1.99,2.17
662,95,31/12/2017,1.67,1.99,2.17,2.25
663,95,31/12/2018,1.99,2.17,2.25,2.52
664,95,31/12/2019,2.17,2.25,2.52,2.03
665,96,31/12/2013,2.17,1.66,1.37,1.27
666,96,31/12/2014,1.66,1.37,1.27,1.36
667,96,31/12/2015,1.37,1.27,1.36,1.52
668,96,31/12/2016,1.27,1.36,1.52,1.69
669,96,31/12/2017,1.36,1.52,1.69,1.86
670,96,31/12/2018,1.52,1.69,1.86,1.96
671,96,31/12/2019,1.69,1.86,1.96,1.94
672,97,31/12/2013,1.05,1.14,1.27,1.36
673,97,31/12/2014,1.14,1.27,1.36,1.7
674,97,31/12/2015,1.27,1.36,1.7,1.68
675,97,31/12/2016,1.36,1.7,1.68,1.57
676,97,31/12/2017,1.7,1.68,1.57,1.81
677,97,31/12/2018,1.68,1.57,1.81,2.54
678,97,31/12/2019,1.57,1.81,2.54,2.11
679,98,31/12/2013,1.61,1.82,1.71,1.52
680,98,31/12/2014,1.82,1.71,1.52,1.35
681,98,31/12/2015,1.71,1.52,1.35,1.18
682,98,31/12/2016,1.52,1.35,1.18,1.34
683,98,31/12/2017,1.35,1.18,1.34,1.45
684,98,31/12/2018,1.18,1.34,1.45,2.03
685,98,31/12/2019,1.34,1.45,2.03,2.05
686,99,31/12/2013,1.09,1.2,1.26,1.32
687,99,31/12/2014,1.2,1.26,1.32,1.35
688,99,31/12/2015,1.26,1.32,1.35,1.56
689,99,31/12/2016,1.32,1.35,1.56,1.66
690,99,31/12/2017,1.35,1.56,1.66,1.88
691,99,31/12/2018,1.56,1.66,1.88,2.08
692,99,31/12/2019,1.66,1.88,2.08,2.51
693,100,31/12/2013,0.56,0.63,0.77,0.9
694,100,31/12/2014,0.63,0.77,0.9,1.1
695,100,31/12/2015,0.77,0.9,1.1,1.39
696,100,31/12/2016,0.9,1.1,1.39,1.89
697,100,31/12/2017,1.1,1.39,1.89,2.35
698,100,31/12/2018,1.39,1.89,2.35,2.49
699,100,31/12/2019,1.89,2.35,2.49,2.2
700,101,31/12/2013,1.11,1.16,1.25,1.33
701,101,31/12/2014,1.16,1.25,1.33,1.43
702,101,31/12/2015,1.25,1.33,1.43,1.49
703,101,31/12/2016,1.33,1.43,1.49,1.55
704,101,31/12/2017,1.43,1.49,1.55,1.58
705,101,31/12/2018,1.49,1.55,1.58,1.64
706,101,31/12/2019,1.55,1.58,1.64,1.65
707,102,31/12/2013,1.07,1.12,1.23,1.27
708,102,31/12/2014,1.12,1.23,1.27,1.39
709,102,31/12/2015,1.23,1.27,1.39,1.46
710,102,31/12/2016,1.27,1.39,1.46,1.6
711,102,31/12/2017,1.39,1.46,1.6,1.96
712,102,31/12/2018,1.46,1.6,1.96,1.41
713,102,31/12/2019,1.6,1.96,1.41,1.46
714,103,31/12/2013,0.95,1.15,1.2,1.21
715,103,31/12/2014,1.15,1.2,1.21,1.27
716,103,31/12/2015,1.2,1.21,1.27,1.3
717,103,31/12/2016,1.21,1.27,1.3,1.32
718,103,31/12/2017,1.27,1.3,1.32,1.4
719,103,31/12/2018,1.3,1.32,1.4,1.8
720,103,31/12/2019,1.32,1.4,1.8,1.5
721,104,31/12/2013,1.05,1.11,1.03,1.02
722,104,31/12/2014,1.11,1.03,1.02,1.29
723,104,31/12/2015,1.03,1.02,1.29,1.3
724,104,31/12/2016,1.02,1.29,1.3,1.39
725,104,31/12/2017,1.29,1.3,1.39,1.44
726,104,31/12/2018,1.3,1.39,1.44,1.7
727,104,31/12/2019,1.39,1.44,1.7,1.67
728,105,31/12/2013,1.34,1.33,1.28,1.3
729,105,31/12/2014,1.33,1.28,1.3,1.33
730,105,31/12/2015,1.28,1.3,1.33,1.26
731,105,31/12/2016,1.3,1.33,1.26,1.28
732,105,31/12/2017,1.33,1.26,1.28,1.34
733,105,31/12/2018,1.26,1.28,1.34,1.28
734,105,31/12/2019,1.28,1.34,1.28,1.23
735,106,31/12/2013,1.52,1.51,1.11,0.89
736,106,31/12/2014,1.51,1.11,0.89,1.26
737,106,31/12/2015,1.11,0.89,1.26,1.26
738,106,31/12/2016,0.89,1.26,1.26,1.26
739,106,31/12/2017,1.26,1.26,1.26,1.26
740,106,31/12/2018,1.26,1.26,1.26,1.26
741,106,31/12/2019,1.26,1.26,1.26,1.26
742,107,31/12/2013,0.67,0.91,1.06,1.12
743,107,31/12/2014,0.91,1.06,1.12,1.22
744,107,31/12/2015,1.06,1.12,1.22,1.3
745,107,31/12/2016,1.12,1.22,1.3,1.38
746,107,31/12/2017,1.22,1.3,1.38,1.57
747,107,31/12/2018,1.3,1.38,1.57,1.71
748,107,31/12/2019,1.38,1.57,1.71,1.63
749,108,31/12/2013,0.68,0.76,0.96,1.08
750,108,31/12/2014,0.76,0.96,1.08,1.2
751,108,31/12/2015,0.96,1.08,1.2,1.19
752,108,31/12/2016,1.08,1.2,1.19,1.26
753,108,31/12/2017,1.2,1.19,1.26,1.5
754,108,31/12/2018,1.19,1.26,1.5,1.65
755,108,31/12/2019,1.26,1.5,1.65,1.89
756,109,31/12/2013,0.79,0.93,0.96,1.13
757,109,31/12/2014,0.93,0.96,1.13,1.21
758,109,31/12/2015,0.96,1.13,1.21,1.23
759,109,31/12/2016,1.13,1.21,1.23,1.29
760,109,31/12/2017,1.21,1.23,1.29,1.39
761,109,31/12/2018,1.23,1.29,1.39,1.48
762,109,31/12/2019,1.29,1.39,1.48,1.7
763,110,31/12/2013,0.75,0.87,1.08,1.1
764,110,31/12/2014,0.87,1.08,1.1,1.14
765,110,31/12/2015,1.08,1.1,1.14,1.14
766,110,31/12/2016,1.1,1.14,1.14,1.28
767,110,31/12/2017,1.14,1.14,1.28,1.33
768,110,31/12/2018,1.14,1.28,1.33,1.51
769,110,31/12/2019,1.28,1.33,1.51,1.53
770,111,31/12/2013,0.96,0.98,0.98,1.02
771,111,31/12/2014,0.98,0.98,1.02,1.07
772,111,31/12/2015,0.98,1.02,1.07,1.17
773,111,31/12/2016,1.02,1.07,1.17,1.31
774,111,31/12/2017,1.07,1.17,1.31,1.37
775,111,31/12/2018,1.17,1.31,1.37,1.43
776,111,31/12/2019,1.31,1.37,1.43,1.42
777,112,31/12/2013,1.2,1.19,1.05,1.08
778,112,31/12/2014,1.19,1.05,1.08,1.08
779,112,31/12/2015,1.05,1.08,1.08,1.18
780,112,31/12/2016,1.08,1.08,1.18,1.23
781,112,31/12/2017,1.08,1.18,1.23,1.35
782,112,31/12/2018,1.18,1.23,1.35,1.36
783,112,31/12/2019,1.23,1.35,1.36,0.97
784,113,31/12/2013,0.68,0.76,0.81,0.92
785,113,31/12/2014,0.76,0.81,0.92,1.03
786,113,31/12/2015,0.81,0.92,1.03,1.13
787,113,31/12/2016,0.92,1.03,1.13,1.28
788,113,31/12/2017,1.03,1.13,1.28,1.5
789,113,31/12/2018,1.13,1.28,1.5,1.71
790,113,31/12/2019,1.28,1.5,1.71,1.85
791,114,31/12/2013,0.91,0.98,0.97,1.07
792,114,31/12/2014,0.98,0.97,1.07,0.98
793,114,31/12/2015,0.97,1.07,0.98,1.01
794,114,31/12/2016,1.07,0.98,1.01,1.22
795,114,31/12/2017,0.98,1.01,1.22,1.38
796,114,31/12/2018,1.01,1.22,1.38,1.13
797,114,31/12/2019,1.22,1.38,1.13,1.7
798,115,31/12/2013,0.79,0.95,0.96,1.06
799,115,31/12/2014,0.95,0.96,1.06,1.13
800,115,31/12/2015,0.96,1.06,1.13,1.19
801,115,31/12/2016,1.06,1.13,1.19,1.15
802,115,31/12/2017,1.13,1.19,1.15,1.26
803,115,31/12/2018,1.19,1.15,1.26,1.33
804,115,31/12/2019,1.15,1.26,1.33,0.94
805,116,31/12/2013,1.04,1.18,1.28,1.32
806,116,31/12/2014,1.18,1.28,1.32,1.22
807,116,31/12/2015,1.28,1.32,1.22,0.4
808,116,31/12/2016,1.32,1.22,0.4,1.07
809,116,31/12/2017,1.22,0.4,1.07,1.07
810,116,31/12/2018,0.4,1.07,1.07,1.07
811,116,31/12/2019,1.07,1.07,1.07,1.07
812,117,31/12/2013,0.25,0.27,0.29,0.38
813,117,31/12/2014,0.27,0.29,0.38,0.47
814,117,31/12/2015,0.29,0.38,0.47,1.44
815,117,31/12/2016,0.38,0.47,1.44,1.58
816,117,31/12/2017,0.47,1.44,1.58,1.8
817,117,31/12/2018,1.44,1.58,1.8,1.97
818,117,31/12/2019,1.58,1.8,1.97,2.07
819,118,31/12/2013,0.9,1.16,0.96,0.56
820,118,31/12/2014,1.16,0.96,0.56,0.53
821,118,31/12/2015,0.96,0.56,0.53,0.56
822,118,31/12/2016,0.56,0.53,0.56,0.96
823,118,31/12/2017,0.53,0.56,0.96,1.75
824,118,31/12/2018,0.56,0.96,1.75,1.9
825,118,31/12/2019,0.96,1.75,1.9,1.03
826,119,31/12/2013,0.98,0.95,0.89,0.92
827,119,31/12/2014,0.95,0.89,0.92,0.99
828,119,31/12/2015,0.89,0.92,0.99,1.03
829,119,31/12/2016,0.92,0.99,1.03,0.95
830,119,31/12/2017,0.99,1.03,0.95,1.06
831,119,31/12/2018,1.03,0.95,1.06,1.17
832,119,31/12/2019,0.95,1.06,1.17,1.22
833,120,31/12/2013,0.81,0.87,0.95,0.95
834,120,31/12/2014,0.87,0.95,0.95,1.04
835,120,31/12/2015,0.95,0.95,1.04,1.09
836,120,31/12/2016,0.95,1.04,1.09,1.05
837,120,31/12/2017,1.04,1.09,1.05,1.05
838,120,31/12/2018,1.09,1.05,1.05,1.02
839,120,31/12/2019,1.05,1.05,1.02,1.04
840,121,31/12/2013,0.82,0.92,0.86,0.92
841,121,31/12/2014,0.92,0.86,0.92,0.95
842,121,31/12/2015,0.86,0.92,0.95,0.93
843,121,31/12/2016,0.92,0.95,0.93,0.96
844,121,31/12/2017,0.95,0.93,0.96,1.01
845,121,31/12/2018,0.93,0.96,1.01,1.07
846,121,31/12/2019,0.96,1.01,1.07,1.27
847,122,31/12/2013,0.62,0.72,0.67,0.7
848,122,31/12/2014,0.72,0.67,0.7,0.82
849,122,31/12/2015,0.67,0.7,0.82,1.04
850,122,31/12/2016,0.7,0.82,1.04,1.06
851,122,31/12/2017,0.82,1.04,1.06,1.19
852,122,31/12/2018,1.04,1.06,1.19,1.28
853,122,31/12/2019,1.06,1.19,1.28,1.11
854,123,31/12/2013,0.68,0.71,0.8,0.8
855,123,31/12/2014,0.71,0.8,0.8,0.87
856,123,31/12/2015,0.8,0.8,0.87,0.88
857,123,31/12/2016,0.8,0.87,0.88,0.96
858,123,31/12/2017,0.87,0.88,0.96,1.11
859,123,31/12/2018,0.88,0.96,1.11,1.14
860,123,31/12/2019,0.96,1.11,1.14,1.24
861,124,31/12/2013,0.79,0.85,0.82,0.78
862,124,31/12/2014,0.85,0.82,0.78,0.77
863,124,31/12/2015,0.82,0.78,0.77,0.89
864,124,31/12/2016,0.78,0.77,0.89,0.87
865,124,31/12/2017,0.77,0.89,0.87,1.04
866,124,31/12/2018,0.89,0.87,1.04,1.06
867,124,31/12/2019,0.87,1.04,1.06,1.04
868,125,31/12/2013,0.93,0.82,0.9,0.99
869,125,31/12/2014,0.82,0.9,0.99,0.83
870,125,31/12/2015,0.9,0.99,0.83,0.9
871,125,31/12/2016,0.99,0.83,0.9,0.87
872,125,31/12/2017,0.83,0.9,0.87,0.87
873,125,31/12/2018,0.9,0.87,0.87,0.87
874,125,31/12/2019,0.87,0.87,0.87,0.75
875,126,31/12/2013,0.69,0.73,0.74,0.77
876,126,31/12/2014,0.73,0.74,0.77,0.78
877,126,31/12/2015,0.74,0.77,0.78,0.87
878,126,31/12/2016,0.77,0.78,0.87,0.96
879,126,31/12/2017,0.78,0.87,0.96,1.03
880,126,31/12/2018,0.87,0.96,1.03,1.06
881,126,31/12/2019,0.96,1.03,1.06,0.97
882,127,31/12/2013,0.43,0.4,0.42,0.43
883,127,31/12/2014,0.4,0.42,0.43,1.08
884,127,31/12/2015,0.42,0.43,1.08,1.08
885,127,31/12/2016,0.43,1.08,1.08,1.2
886,127,31/12/2017,1.08,1.08,1.2,1.14
887,127,31/12/2018,1.08,1.2,1.14,1.17
888,127,31/12/2019,1.2,1.14,1.17,1.14
889,128,31/12/2013,0.57,0.6,0.82,0.78
890,128,31/12/2014,0.6,0.82,0.78,0.82
891,128,31/12/2015,0.82,0.78,0.82,0.9
892,128,31/12/2016,0.78,0.82,0.9,0.99
893,128,31/12/2017,0.82,0.9,0.99,1.08
894,128,31/12/2018,0.9,0.99,1.08,1.0
895,128,31/12/2019,0.99,1.08,1.0,0.84
896,129,31/12/2013,0.6,0.74,0.8,0.8
897,129,31/12/2014,0.74,0.8,0.8,0.79
898,129,31/12/2015,0.8,0.8,0.79,0.54
899,129,31/12/2016,0.8,0.79,0.54,0.75
900,129,31/12/2017,0.79,0.54,0.75,0.94
901,129,31/12/2018,0.54,0.75,0.94,1.17
902,129,31/12/2019,0.75,0.94,1.17,1.2
903,130,31/12/2013,0.75,0.77,0.77,0.8
904,130,31/12/2014,0.77,0.77,0.8,0.82
905,130,31/12/2015,0.77,0.8,0.82,0.81
906,130,31/12/2016,0.8,0.82,0.81,0.85
907,130,31/12/2017,0.82,0.81,0.85,0.84
908,130,31/12/2018,0.81,0.85,0.84,0.87
909,130,31/12/2019,0.85,0.84,0.87,0.81
910,131,31/12/2013,0.54,0.63,1.06,1.09
911,131,31/12/2014,0.63,1.06,1.09,0.97
912,131,31/12/2015,1.06,1.09,0.97,0.88
913,131,31/12/2016,1.09,0.97,0.88,0.68
914,131,31/12/2017,0.97,0.88,0.68,0.43
915,131,31/12/2018,0.88,0.68,0.43,0.78
916,131,31/12/2019,0.68,0.43,0.78,0.78
917,132,31/12/2013,0.47,0.52,0.6,0.68
918,132,31/12/2014,0.52,0.6,0.68,0.77
919,132,31/12/2015,0.6,0.68,0.77,0.86
920,132,31/12/2016,0.68,0.77,0.86,0.87
921,132,31/12/2017,0.77,0.86,0.87,0.93
922,132,31/12/2018,0.86,0.87,0.93,0.85
923,132,31/12/2019,0.87,0.93,0.85,0.81
924,133,31/12/2013,0.37,0.39,0.44,0.53
925,133,31/12/2014,0.39,0.44,0.53,0.54
926,133,31/12/2015,0.44,0.53,0.54,0.68
927,133,31/12/2016,0.53,0.54,0.68,0.78
928,133,31/12/2017,0.54,0.68,0.78,0.92
929,133,31/12/2018,0.68,0.78,0.92,1.05
930,133,31/12/2019,0.78,0.92,1.05,1.2
931,134,31/12/2013,0.5,0.54,0.58,0.59
932,134,31/12/2014,0.54,0.58,0.59,0.68
933,134,31/12/2015,0.58,0.59,0.68,0.74
934,134,31/12/2016,0.59,0.68,0.74,0.8
935,134,31/12/2017,0.68,0.74,0.8,0.81
936,134,31/12/2018,0.74,0.8,0.81,0.84
937,134,31/12/2019,0.8,0.81,0.84,0.67
938,135,31/12/2013,0.5,0.54,0.58,0.59
939,135,31/12/2014,0.54,0.58,0.59,0.68
940,135,31/12/2015,0.58,0.59,0.68,0.74
941,135,31/12/2016,0.59,0.68,0.74,0.8
942,135,31/12/2017,0.68,0.74,0.8,0.81
943,135,31/12/2018,0.74,0.8,0.81,0.84
944,135,31/12/2019,0.8,0.81,0.84,0.67
945,136,31/12/2013,0.56,0.63,0.62,0.52
946,136,31/12/2014,0.63,0.62,0.52,0.51
947,136,31/12/2015,0.62,0.52,0.51,0.47
948,136,31/12/2016,0.52,0.51,0.47,0.47
949,136,31/12/2017,0.51,0.47,0.47,0.54
950,136,31/12/2018,0.47,0.47,0.54,0.6
951,136,31/12/2019,0.47,0.54,0.6,0.64
952,137,31/12/2013,0.34,0.43,0.48,0.5
953,137,31/12/2014,0.43,0.48,0.5,0.49
954,137,31/12/2015,0.48,0.5,0.49,0.52
955,137,31/12/2016,0.5,0.49,0.52,0.6
956,137,31/12/2017,0.49,0.52,0.6,0.67
957,137,31/12/2018,0.52,0.6,0.67,0.71
958,137,31/12/2019,0.6,0.67,0.71,0.76
959,138,31/12/2013,0.52,0.45,0.49,0.55
960,138,31/12/2014,0.45,0.49,0.55,0.56
961,138,31/12/2015,0.49,0.55,0.56,0.43
962,138,31/12/2016,0.55,0.56,0.43,0.4
963,138,31/12/2017,0.56,0.43,0.4,0.5
964,138,31/12/2018,0.43,0.4,0.5,0.61
965,138,31/12/2019,0.4,0.5,0.61,0.69
966,139,31/12/2013,0.49,0.49,0.5,0.47
967,139,31/12/2014,0.49,0.5,0.47,0.46
968,139,31/12/2015,0.5,0.47,0.46,0.52
969,139,31/12/2016,0.47,0.46,0.52,0.49
970,139,31/12/2017,0.46,0.52,0.49,0.47
971,139,31/12/2018,0.52,0.49,0.47,0.5
972,139,31/12/2019,0.49,0.47,0.5,0.48
973,140,31/12/2013,0.26,0.33,0.35,0.4
974,140,31/12/2014,0.33,0.35,0.4,0.43
975,140,31/12/2015,0.35,0.4,0.43,0.49
976,140,31/12/2016,0.4,0.43,0.49,0.51
977,140,31/12/2017,0.43,0.49,0.51,0.63
978,140,31/12/2018,0.49,0.51,0.63,0.71
979,140,31/12/2019,0.51,0.63,0.71,0.76
980,141,31/12/2013,0.45,0.45,0.37,0.33
981,141,31/12/2014,0.45,0.37,0.33,0.39
982,141,31/12/2015,0.37,0.33,0.39,0.44
983,141,31/12/2016,0.33,0.39,0.44,0.47
984,141,31/12/2017,0.39,0.44,0.47,0.47
985,141,31/12/2018,0.44,0.47,0.47,0.53
986,141,31/12/2019,0.47,0.47,0.53,0.53
987,142,31/12/2013,0.43,0.48,0.53,0.65
988,142,31/12/2014,0.48,0.53,0.65,0.6
989,142,31/12/2015,0.53,0.65,0.6,0.59
990,142,31/12/2016,0.65,0.6,0.59,0.4
991,142,31/12/2017,0.6,0.59,0.4,0.26
992,142,31/12/2018,0.59,0.4,0.26,0.22
993,142,31/12/2019,0.4,0.26,0.22,0.22
994,143,31/12/2013,0.3,0.16,0.13,0.15
995,143,31/12/2014,0.16,0.13,0.15,0.13
996,143,31/12/2015,0.13,0.15,0.13,0.64
997,143,31/12/2016,0.15,0.13,0.64,0.83
998,143,31/12/2017,0.13,0.64,0.83,1.03
999,143,31/12/2018,0.64,0.83,1.03,0.27
1000,143,31/12/2019,0.83,1.03,0.27,0.32
1001,144,31/12/2013,0.2,0.3,0.24,0.33
1002,144,31/12/2014,0.3,0.24,0.33,0.28
1003,144,31/12/2015,0.24,0.33,0.28,0.27
1004,144,31/12/2016,0.33,0.28,0.27,0.34
1005,144,31/12/2017,0.28,0.27,0.34,0.51
1006,144,31/12/2018,0.27,0.34,0.51,0.57
1007,144,31/12/2019,0.34,0.51,0.57,0.88
1008,145,31/12/2013,0.16,0.18,0.24,0.21
1009,145,31/12/2014,0.18,0.24,0.21,0.21
1010,145,31/12/2015,0.24,0.21,0.21,0.41
1011,145,31/12/2016,0.21,0.21,0.41,0.34
1012,145,31/12/2017,0.21,0.41,0.34,0.43
1013,145,31/12/2018,0.41,0.34,0.43,1.04
1014,145,31/12/2019,0.34,0.43,1.04,0.36
1015,146,31/12/2013,0.6,0.42,0.35,0.31
1016,146,31/12/2014,0.42,0.35,0.31,0.37
1017,146,31/12/2015,0.35,0.31,0.37,0.36
1018,146,31/12/2016,0.31,0.37,0.36,0.36
1019,146,31/12/2017,0.37,0.36,0.36,0.23
1020,146,31/12/2018,0.36,0.36,0.23,0.2
1021,146,31/12/2019,0.36,0.23,0.2,0.32
1022,147,31/12/2013,0.09,0.11,0.16,0.17
1023,147,31/12/2014,0.11,0.16,0.17,0.16
1024,147,31/12/2015,0.16,0.17,0.16,0.45
1025,147,31/12/2016,0.17,0.16,0.45,0.45
1026,147,31/12/2017,0.16,0.45,0.45,0.52
1027,147,31/12/2018,0.45,0.45,0.52,0.55
1028,147,31/12/2019,0.45,0.52,0.55,0.62
